code,open,close,low,high,open_std,close_std,total_volume,total_turnover,volume_std,turnover_std
600606,73800,78600,73800,79600,0.0025764580006952986,0.002575653455576307,253290963,1972122507,1278669.1152015561,9918553.162559226
600609,57300,57699,56100,60700,0.002772612640846857,0.002824861295089442,10482487,61199890,76103.35066257119,448009.5558965335
600610,54300,55500,54300,56700,0.00156466000312773,0.0016153747678129648,6961069,38672362,47892.081610222725,267888.89734034496
600611,50000,50500,49900,50700,0.0014115145774966798,0.0015448721355483203,10602859,53401926,95378.81873858892,480959.71583138884
600612,410000,415500,410000,417000,0.0011348421884062212,0.0010686505965823248,996154,41335280,6654.8953093322925,276853.24288872903
600613,83800,83900,83300,84200,0.0008588424716982206,0.0008934332457830117,1138121,9527081,8318.224886068703,69573.52118226248
600615,132600,133100,131600,133100,0.0008029326683220021,0.0007472164648348921,1209365,16016401,7129.672363588417,94454.66278885586
600616,96300,95300,94000,96300,0.002022945633782813,0.0013050239513080083,3349525,31923921,49626.33938231898,472295.7466532686
600617,82899,83400,81500,84100,0.0014778741072966955,0.0014253435548373672,4458501,37139064,20457.626684679668,170440.98943924147
600618,108500,111199,108500,112200,0.0014363684277773515,0.0013877053210776002,7003242,77475623,32458.37295338388,360200.1863659339
600619,114100,115800,113200,116300,0.0011237781607074376,0.0011560889029309006,4320266,49722960,19875.74228199242,229284.58860631738
600620,106600,106300,105500,108500,0.0017359545681539363,0.001865263361864428,1612859,17234152,11461.429121186526,122553.48944240366
600621,126100,126100,124600,127000,0.0012200479053143928,0.0012830607083207425,8624571,108534100,39687.071001874065,499603.6442825399
600622,180000,177900,176500,186800,0.0019411202115218245,0.0015323528714711852,4579700,82774704,18846.409719054336,341986.7153739422
600623,85399,85900,84900,86000,0.0011773144044150477,0.001194023717046083,4021337,34386679,15529.18248376934,132844.45945282697
600624,66400,67600,66300,67600,0.001095753277394444,0.0011966411618090091,2595405,17429533,18960.37637800629,127384.26602562919
600626,77000,77400,76300,77700,0.0011592688269523057,0.0010966020092957232,3621819,27940121,20879.788089584432,161148.4070116008
600628,101800,102899,101300,102899,0.000915011081692415,0.0008987010517837459,3389884,34615640,13982.815952969433,142918.82310421925
600629,153700,153300,152300,153700,0.0007291752019286184,0.0007907360471967261,614888,9419304,3281.305097873064,50260.43227488774
600630,103699,106000,102800,106400,0.0011137220172197468,0.0011495253278677676,7620254,80003380,40223.81204287059,425653.74553203344
600633,151200,151700,151200,153400,0.001002652921374606,0.0009896623443945648,7128988,108342711,28237.83851536453,429080.6328813215
600635,47800,48000,47800,48500,0.0012746457375326736,0.001448708718900298,12190345,58506461,58080.278513183985,278825.800611512
600637,166700,168200,166700,168500,0.0008833962664989945,0.0009001621443564342,4431522,74361227,19186.71762246108,321794.8773239018
600638,145800,148600,145800,151200,0.0014879285842131506,0.0014435784100299087,1950900,29100776,11396.70939754323,170228.4385679802
600639,168500,170500,168400,170799,0.0008857106046357581,0.000905438563108495,1103624,18772683,4944.423569101195,84133.25317245611
600640,146100,145700,145000,146800,0.0010688213219978348,0.001125559206206268,2586692,37672520,11775.845493320905,171361.1207066475
600641,133900,136500,133600,137200,0.0010347882294973166,0.0009751628329761158,11274810,153203269,51278.86185666423,698899.2803108193
600642,58900,59100,58700,59300,0.001250340171428778,0.001240148869329027,11374307,67202253,54146.06206717153,319774.8205432904
600643,111300,110300,108800,111800,0.001452089223384954,0.0012883367848964937,22079348,242073190,77331.9843136996,846368.6280140834
600644,70900,71400,69900,71500,0.0010867120537066115,0.0009359755597402281,3325906,23507011,24474.1676158824,173233.60937665406
600647,182600,183100,182000,185400,0.0019946498839616064,0.0019846673914209866,566265,10394909,5401.210076359226,99055.38950420884
600648,184400,184300,182800,185799,0.0008680193865501198,0.0008269994270604232,1995401,36686879,12096.40162684648,222912.2962935935
600649,87899,89000,87899,89600,0.0009480960771340785,0.0009455664925901399,8824539,78615439,41833.95722977652,372874.2460677011
600650,145600,146300,144600,146600,0.0008002801480627579,0.0008451502116768232,1282979,18721552,6246.396947548435,91226.10464688772
600651,92600,94900,91700,95500,0.0017145522735783083,0.0017326313627142706,15233050,143667021,68353.8147520783,645328.5399085514
600652,72900,73500,72100,73900,0.0013193618731658495,0.0012657043242608472,6666111,48711501,42376.19466210279,310151.8829765241
600653,26900,27100,26800,27100,0.0022417195420241947,0.002149262611458419,4283455,11548042,33898.905814619364,91394.35515844719
600655,107400,109700,107400,111300,0.001313703138779366,0.0011666481734060583,11487707,126601040,45099.101361748006,496880.43413287314
600657,55800,57400,55800,57800,0.0017827102704086467,0.001902147736497533,20756023,118926422,101718.67696508023,582566.4563726922
600658,110300,110700,110300,111600,0.0011528790214596332,0.0011845339358945075,1427100,15810501,13353.878791036348,147812.55056237214
600660,291000,298800,291000,299000,0.0008881381355699002,0.0008262091977622304,15332688,454883346,52316.73060861979,1551929.8685880313
600661,254500,256800,249200,257600,0.0013648198665285054,0.001376282245860827,2083817,52714074,12476.545360013912,314583.6243408318
600662,56000,56200,55599,56300,0.0011328444630466156,0.001173911849366894,2791134,15647079,14759.481787210127,82811.35968880748
600663,191100,192600,190400,194800,0.0013732480521740675,0.0013846078245707302,2296140,44376296,11772.872577761877,227955.49888451016
600665,42699,43700,42699,43900,0.001650597670947663,0.0017861914433079619,7269665,31581882,38169.292238075774,165719.7833019428
600667,90200,91300,88000,91300,0.0016365593508409003,0.0017058597083838157,60751731,546672253,295860.34042138886,2673699.0861465684
600668,158500,163200,158200,165600,0.0013136523223922843,0.0013959638373420864,7704754,125254704,42511.7756942051,696129.3547382131
600673,68000,67900,67600,68800,0.0014750258088386428,0.001406279256366358,11021066,75049525,60075.08161717627,408624.58196529653
600674,102200,104200,101600,104800,0.001217282374878105,0.0013357034520537524,27374744,283455332,84941.71315832809,880440.3078309268
600675,61800,62300,61600,62699,0.0013735262676859569,0.001393427347138905,4317363,26870735,27676.295351297074,171981.36068313988
600676,65700,66400,65700,66500,0.0009441494460435643,0.0009696254852942476,3021888,19990658,19616.565443543805,129774.12257727988
600677,110500,111900,110500,112700,0.0009507937672027229,0.0009509538035588808,4713643,52588553,20210.692598495018,225987.66896569217
600678,111500,113500,110500,113800,0.001447696500900187,0.0014032338563765446,1889496,21246090,13401.547760735084,150105.80771957987
600679,194700,195600,193000,196500,0.0011907980766281154,0.0011050546271327239,766601,14899856,5269.058274133707,102894.47266727552
600681,136000,136500,134400,137300,0.001202151383544983,0.0012430921343684167,5134387,69785593,24320.378988312023,330977.2244456592
600682,377700,379600,371800,379700,0.0014389641898188438,0.0014202920628891577,3372128,127207326,16159.213366316168,610463.9453306206
600683,56700,58900,56100,60700,0.00262687891450757,0.002581966322266238,3691290,21795405,30649.582605514537,182027.12939663394
600684,62000,61900,61500,62900,0.0015751413046990307,0.0015036778161319079,10454619,65011633,60677.317709185474,378270.84298406297
600687,117899,115900,115500,117899,0.0012457735233046415,0.001075353758358362,5867902,68204706,24597.011051876256,285934.21384016407
600688,63300,65900,63300,66200,0.00154630397928013,0.0014716737944237789,53018050,346845475,211690.32726816315,1389964.0087765402
600689,114300,115200,113500,115800,0.001159800681777553,0.00118102866325465,2148741,24647384,11811.801717097489,135881.17046941345
600690,189500,189800,187900,191700,0.0013104535783950958,0.0012304088691420772,41568719,789394656,102630.07681213347,1954047.8125619583
600691,36500,39500,36300,39900,0.0028812524373273067,0.0027177263201724764,104177879,400674122,452499.9195035874,1751305.2205585525
